observation_id,material_family,material_id,doping,observable,value,unit,uncertainty,split,source_id,provenance,usable_for_fit,source_url,curation_note
lsco-hofer-x0080-tc,cuprate,LSCO,x=0.080,tc_k,19.60,K,"~0.05 K per sample; mean of 16O Tc values 19.52 and 19.68 K",train,hofer-1999-oie-penetration-depth,"Hofer et al. Table I reports Tc(16O)=19.52(5),19.68(5) K for x=0.080 microcrystals",true,https://arxiv.org/pdf/cond-mat/9912493,"direct table value; underdoped microcrystals"
lsco-hofer-x0080-isotope,cuprate,LSCO,x=0.080,isotope_alpha,0.47,dimensionless,0.02,train,hofer-1999-oie-penetration-depth,"Hofer et al. report mean oxygen isotope exponent alpha_O=0.47(2) for x=0.080",true,https://arxiv.org/pdf/cond-mat/9912493,"direct table value"
lsco-hofer-x0080-optical-proxy,cuprate,LSCO,x=0.080,optical_spectral_weight_proxy,0.34,eV,approximate,train,hofer-1999-oie-penetration-depth,"Hofer et al. discuss optical-conductivity maximum Em=0.44 eV for x=0.06 and 0.24 eV for x=0.10 and estimate Em~0.34 eV for their x~0.08 samples",false,https://arxiv.org/pdf/cond-mat/9912493,"proxy is optical-conductivity maximum energy Em, not an integrated spectral-weight change; do not use for final material claim"
lsco-hofer-x0080-penetration-missing,cuprate,LSCO,x=0.080,penetration_depth_nm,,nm,,train,hofer-1999-oie-penetration-depth,"Hofer et al. report normalized lambda_ab^-2 shifts, not a clean absolute lambda_ab(0) value in nm in the extracted text",false,https://arxiv.org/pdf/cond-mat/9912493,"placeholder row documents missing absolute penetration depth"
lsco-hofer-x0080-gap-missing,cuprate,LSCO,x=0.080,gap_ev,,eV,,train,missing-gap-x0080,"No directly curated LSCO x=0.080 superconducting gap value was found in the quick source pass",false,,"placeholder row documents missing superconducting gap"
lsco-hofer-x0086-tc,cuprate,LSCO,x=0.086,tc_k,22.255,K,"~0.05 K per sample; mean of 16O Tc values 22.40 and 22.11 K",train,hofer-1999-oie-penetration-depth,"Hofer et al. Table I reports Tc(16O)=22.40(5),22.11(5) K for x=0.086 microcrystals",true,https://arxiv.org/pdf/cond-mat/9912493,"direct table value; underdoped microcrystals"
lsco-hofer-x0086-isotope,cuprate,LSCO,x=0.086,isotope_alpha,0.40,dimensionless,0.02,train,hofer-1999-oie-penetration-depth,"Hofer et al. report mean oxygen isotope exponent alpha_O=0.40(2) for x=0.086",true,https://arxiv.org/pdf/cond-mat/9912493,"direct table value"
lsco-hofer-x0086-optical-proxy,cuprate,LSCO,x=0.086,optical_spectral_weight_proxy,0.34,eV,approximate,train,hofer-1999-oie-penetration-depth,"Hofer et al. estimate Em~0.34 eV for samples between x=0.06 and x=0.10",false,https://arxiv.org/pdf/cond-mat/9912493,"proxy is optical-conductivity maximum energy Em, not an integrated spectral-weight change"
lsco-hofer-x0086-penetration-missing,cuprate,LSCO,x=0.086,penetration_depth_nm,,nm,,train,hofer-1999-oie-penetration-depth,"Hofer et al. report normalized lambda_ab^-2 shifts, not a clean absolute lambda_ab(0) value in nm in the extracted text",false,https://arxiv.org/pdf/cond-mat/9912493,"placeholder row documents missing absolute penetration depth"
lsco-hofer-x0086-gap-missing,cuprate,LSCO,x=0.086,gap_ev,,eV,,train,missing-gap-x0086,"No directly curated LSCO x=0.086 superconducting gap value was found in the quick source pass",false,,"placeholder row documents missing superconducting gap"
lsco-naqib-x009-alpha,cuprate,LSCO,x=0.090,isotope_alpha,0.271,dimensionless,,train,naqib-2011-la214-isotope,"Naqib and Islam report alpha_p=0.271 for Zn-free underdoped La1.91Sr0.09CuO4",true,https://arxiv.org/pdf/1103.5200,"direct text value; polycrystalline La214; isotope exponent only"
lsco-x009-tc-missing,cuprate,LSCO,x=0.090,tc_k,,K,,train,missing-tc-x009,"Need direct Tc value from original isotope dataset or a curated SuperCon extraction",false,,"placeholder row"
lsco-x009-gap-missing,cuprate,LSCO,x=0.090,gap_ev,,eV,,train,missing-gap-x009,"Need direct superconducting gap measurement at this doping",false,,"placeholder row"
lsco-x009-penetration-missing,cuprate,LSCO,x=0.090,penetration_depth_nm,,nm,,train,missing-lambda-x009,"Need absolute lambda_ab(0) in nm at this doping",false,,"placeholder row"
lsco-x009-optical-missing,cuprate,LSCO,x=0.090,optical_spectral_weight_proxy,,relative,,train,missing-optical-x009,"Need integrated optical spectral-weight or agreed proxy at this doping",false,,"placeholder row"
lsco-ino-x010-gap,cuprate,LSCO,x=0.100,gap_ev,0.0125,eV,"range 0.010-0.015 eV",train,ino-1998-arpes-gap,"Ino et al. report superconducting gap Delta=10-15 meV for underdoped x=0.10 and optimally doped x=0.15 near (pi,0)",true,https://arxiv.org/abs/cond-mat/9809311,"midpoint of reported range; use uncertainty/caveat"
lsco-yoshida-x010-gap,cuprate,LSCO,x=0.100,gap_ev,0.013,eV,"range 0.012-0.014 eV",train,yoshida-2012-two-gap,"Yoshida et al. report d-wave order parameter Delta0~12-14 meV for x=0.10",true,https://arxiv.org/abs/1208.2903,"midpoint of reported range"
lsco-hofer-x010-optical-proxy,cuprate,LSCO,x=0.100,optical_spectral_weight_proxy,0.24,eV,,train,hofer-1999-oie-penetration-depth,"Hofer et al. quote optical-conductivity maximum Em=0.24 eV for LSCO x=0.10 from prior optical data",false,https://arxiv.org/pdf/cond-mat/9912493,"proxy is Em, not integrated spectral weight"
lsco-x010-tc-missing,cuprate,LSCO,x=0.100,tc_k,,K,,train,missing-tc-x010,"Need direct Tc from same sample/dataset or curated SuperCon extraction",false,,"placeholder row"
lsco-x010-isotope-mapped,cuprate,LSCO,x=0.100,isotope_alpha,0.271,dimensionless,nearby-doping,train,naqib-2011-la214-isotope,"Nearest direct isotope value in this quick curation is alpha_p=0.271 at x=0.09, not x=0.10",false,https://arxiv.org/pdf/1103.5200,"nearby-doping mapping only; not counted for fit"
lsco-x010-penetration-missing,cuprate,LSCO,x=0.100,penetration_depth_nm,,nm,,train,missing-lambda-x010,"Need absolute lambda_ab(0) in nm at this doping",false,,"placeholder row"
lsco-yoshida-x014-gap,cuprate,LSCO,x=0.140,gap_ev,0.013,eV,"range 0.012-0.014 eV",train,yoshida-2012-two-gap,"Yoshida et al. report d-wave order parameter Delta0~12-14 meV for x=0.14",true,https://arxiv.org/abs/1208.2903,"midpoint of reported range"
lsco-x014-tc-missing,cuprate,LSCO,x=0.140,tc_k,,K,,train,missing-tc-x014,"Need direct Tc from same sample/dataset",false,,"placeholder row"
lsco-x014-isotope-missing,cuprate,LSCO,x=0.140,isotope_alpha,,dimensionless,,train,missing-isotope-x014,"Need direct isotope exponent at this doping",false,,"placeholder row"
lsco-x014-penetration-missing,cuprate,LSCO,x=0.140,penetration_depth_nm,,nm,,train,missing-lambda-x014,"Need absolute lambda_ab(0) in nm at this doping",false,,"placeholder row"
lsco-x014-optical-missing,cuprate,LSCO,x=0.140,optical_spectral_weight_proxy,,relative,,train,missing-optical-x014,"Need integrated optical spectral-weight or agreed proxy at this doping",false,,"placeholder row"
lsco-local-x015-tc,cuprate,LSCO,x~0.150,tc_k,38,K,,train,local-supercon-fixture,"Repository local SuperCon fixture records La2-xSrxCuO4 with Tc=38 K at x~0.15 ambiguous",true,examples/superconductivity_bcs_campaign/sources/supercon_fixture.csv,"local fixture, not live database extraction"
lsco-ino-x015-gap,cuprate,LSCO,x=0.150,gap_ev,0.0125,eV,"range 0.010-0.015 eV",train,ino-1998-arpes-gap,"Ino et al. report superconducting gap Delta=10-15 meV for underdoped x=0.10 and optimally doped x=0.15 near (pi,0)",true,https://arxiv.org/abs/cond-mat/9809311,"midpoint of reported range"
lsco-x015-isotope-alpha-gap-model,cuprate,LSCO,x=0.150,isotope_alpha,0.06,dimensionless,model-assumption,train,naqib-2011-la214-isotope,"Naqib and Islam cite models where isotope effect in superconducting gap alpha_Delta is assumed around 0.06 independent of hole content; this is not a direct Tc isotope exponent at x=0.15",false,https://arxiv.org/pdf/1103.5200,"model-assumption row; not counted for fit"
lsco-x015-penetration-missing,cuprate,LSCO,x=0.150,penetration_depth_nm,,nm,,train,missing-lambda-x015,"Need absolute lambda_ab(0) in nm at this doping",false,,"placeholder row"
lsco-x015-optical-missing,cuprate,LSCO,x=0.150,optical_spectral_weight_proxy,,relative,,train,missing-optical-x015,"Need integrated optical spectral-weight or agreed proxy at this doping",false,,"placeholder row"
lsco-naqib-x022-alpha,cuprate,LSCO,x=0.220,isotope_alpha,0.0939,dimensionless,,test,naqib-2011-la214-isotope,"Naqib and Islam report alpha_p=0.0939 for Zn-free overdoped La1.78Sr0.22CuO4",true,https://arxiv.org/pdf/1103.5200,"direct text value; isotope exponent only"
lsco-x022-tc-missing,cuprate,LSCO,x=0.220,tc_k,,K,,test,missing-tc-x022,"Need direct Tc from original isotope dataset or curated SuperCon extraction",false,,"placeholder row"
lsco-x022-gap-missing,cuprate,LSCO,x=0.220,gap_ev,,eV,,test,missing-gap-x022,"Need direct superconducting gap measurement at this doping",false,,"placeholder row"
lsco-x022-penetration-missing,cuprate,LSCO,x=0.220,penetration_depth_nm,,nm,,test,missing-lambda-x022,"Need absolute lambda_ab(0) in nm at this doping",false,,"placeholder row"
